央视,#genre#
CCTV-1综合,http://20.253.1.34:80/PLTV/88888888/224/3221225703/10000100000000060000000000035351_0.smil/34623512.ts?fmt=ts2hls
CCTV-2财经,http://20.253.1.14:80/PLTV/88888888/224/3221225881/10000100000000060000000001558309_0.smil/01.m3u8?fmt=ts2hls
CCTV-3综艺,http://20.253.1.14:80/PLTV/88888888/224/3221225861/10000100000000060000000001067918_0.smil/34623598.ts?fmt=ts2hls
CCTV-4中文国际,http://20.253.1.30:80/PLTV/88888888/224/3221225882/10000100000000060000000001558308_0.smil/34623611.ts?fmt=ts2hls
CCTV-5体育,http://20.253.1.33:80/PLTV/88888888/224/3221225862/10000100000000060000000001067915_0.smil/01.m3u8?fmt=ts2hls
CCTV-6电影,http://20.253.1.34:80/PLTV/88888888/224/3221225863/10000100000000060000000001067916_0.smil/01.m3u8?fmt=ts2hls
CCTV-7国防军事,http://20.253.1.10:80/PLTV/88888888/224/3221225887/10000100000000060000000001558688_0.smil/34623650.ts?fmt=ts2hls
CCTV-8电视剧,http://20.253.1.11:80/PLTV/88888888/224/3221225864/10000100000000060000000001067917_0.smil/34623660.ts?fmt=ts2hls
CCTV-9记录,http://20.253.1.9:80/PLTV/88888888/224/3221225888/10000100000000060000000001558690_0.smil/34623668.ts?fmt=ts2hls
CCTV-10科教,http://20.253.1.16:80/PLTV/88888888/224/3221225889/10000100000000060000000001558694_0.smil/34623677.ts?fmt=ts2hls
CCTV-11戏曲,http://20.253.1.34:80/PLTV/88888888/224/3221226034/10000100000000060000000002233116_0.smil/34623690.ts?fmt=ts2hls
CCTV-12社会与法,http://20.253.1.16:80/PLTV/88888888/224/3221225890/10000100000000060000000001558689_0.smil/34623699.ts?fmt=ts2hls
CCTV-13新闻,http://10.223.3.141:80/PLTV/88888888/224/3221226036/10000100000000060000000002233161_0.smil/34623716.ts?fmt=ts2hls
CCTV-14少儿,http://20.253.1.7:80/PLTV/88888888/224/3221225891/10000100000000060000000001558693_0.smil/34623727.ts?fmt=ts2hls
CCTV-15音乐,http://20.253.1.32:80/PLTV/88888888/224/3221226035/10000100000000060000000002233162_0.smil/34623735.ts?fmt=ts2hls
